PM2.5,ciswur,ctrstp,dgaca,gcrca,ieno,iesdio,pss,psi,gpc,pd
8.316396684,5.263306367,7.002834343,7.689618453,5.072936308,0.349887505,1.150618313,5.121231418,5.415666018,2.404301055,2.094508101
7.067240878,3.837771038,4.386115139,5.616449056,4.870306476,0.165063799,0.2294133,4.987272723,4.469544321,0.747642336,0.68547474
8.299330474,5.262312243,7.064516095,7.386558448,4.566426508,0.539039193,1.42597676,4.842120319,5.866709407,2.588873924,2.584082989
7.61245162,4.865112663,7.711266585,6.927192905,4.964495663,0.40445338,0.774218227,4.896332986,4.18571925,1.057992206,0.568230034
8.840678765,5.010896692,7.03998866,6.891400284,5.073843219,0.505273436,1.334018035,5.056044527,5.189658224,1.609634781,2.117505643
5.726713588,4.399789274,8.807304945,6.816189163,4.928996575,0.143336408,0.491881224,2.141583252,8.567708426,5.323232686,0.119581751
8.548727028,5.213120221,6.766027957,5.94433225,4.390291433,0.358836153,0.588988641,4.410686989,4.079520749,0.781949108,1.367671368
7.478986332,3.786997232,6.710464096,7.045034021,3.539414565,0.389731607,1.356872622,3.961841223,5.489210053,0.835981115,0.224938178
8.736018277,5.198699703,7.057029361,7.121504489,4.653230847,0.973829438,1.277900619,6.820333955,4.314793033,2.670523578,2.284880655
5.620019715,4.315839813,3.418720883,6.344414296,4.354742808,0.791901043,0.291120149,4.657460708,3.62338761,0.940406267,0.264105652
